Project,Note,MMRE,MAE,Accuracy
apstud_porru_porru_method,4_porru_method,0.6351525018191685,6.083333333333333,0.20833333333333334
dnn_porru_porru_method,4_porru_method,0.5753968253968254,1.1149425287356323,0.25862068965517243
mesos_porru_porru_method,4_porru_method,0.6003086419753088,1.2222222222222223,0.3055555555555556
mule_porru_porru_method,4_porru_method,1.3441425650014607,3.4539877300613497,0.13496932515337423
nexus_porru_porru_method,4_porru_method,0.4745098039215685,0.38823529411764707,0.29411764705882354
timob_porru_porru_method,4_porru_method,0.4041867223685406,1.7603305785123966,0.4132231404958678
tistud_porru_porru_method,4_porru_method,0.2656560933156678,1.2723404255319148,0.5106382978723404
xd_porru_porru_method,4_porru_method,0.524021164021164,1.3666666666666667,0.2222222222222222
apstud_porru_porru_method,4_porru_method,0.6351525018191685,6.083333333333333,0.20833333333333334
dnn_porru_porru_method,4_porru_method,0.5753968253968254,1.1149425287356323,0.25862068965517243
mesos_porru_porru_method,4_porru_method,0.6003086419753088,1.2222222222222223,0.3055555555555556
mule_porru_porru_method,4_porru_method,1.3441425650014607,3.4539877300613497,0.13496932515337423
nexus_porru_porru_method,4_porru_method,0.4745098039215685,0.38823529411764707,0.29411764705882354
timob_porru_porru_method,4_porru_method,0.4041867223685406,1.7603305785123966,0.4132231404958678
tistud_porru_porru_method,4_porru_method,0.2656560933156678,1.2723404255319148,0.5106382978723404
xd_porru_porru_method,4_porru_method,0.524021164021164,1.3666666666666667,0.2222222222222222
apstud_porru_porru_method,4_porru_method,0.6351525018191685,6.083333333333333,0.20833333333333334
dnn_porru_porru_method,4_porru_method,0.5753968253968254,1.1149425287356323,0.25862068965517243
mesos_porru_porru_method,4_porru_method,0.6003086419753088,1.2222222222222223,0.3055555555555556
mule_porru_porru_method,4_porru_method,1.3441425650014607,3.4539877300613497,0.13496932515337423
nexus_porru_porru_method,4_porru_method,0.4745098039215685,0.38823529411764707,0.29411764705882354
timob_porru_porru_method,4_porru_method,0.4041867223685406,1.7603305785123966,0.4132231404958678
tistud_porru_porru_method,4_porru_method,0.2656560933156678,1.2723404255319148,0.5106382978723404
xd_porru_porru_method,4_porru_method,0.524021164021164,1.3666666666666667,0.2222222222222222
